ID	Fixed.Calls	Duration	Mobile	International	Broadband	DurationHL	Cluster
C107000	248.937098	8715.645812	215.75708	157.367621	177.482955	Low	2
C108100	204.976095	24012.50452	110.937892	137.25988	0	High	2
C112900	237.592827	15120.47801	210.885219	122.564564	6.99586	High	2
C113700	588.07667	31470.9508	354.793963	152.045804	55.434312	High	2
C119000	301.457593	14300.57204	156.412265	98.039687	2.249054	High	2
C123200	317.722915	16728.32153	149.92855	94.191619	5.098479	High	2
C123300	204.626475	6130.483478	165.968015	119.368784	7.543884	Low	2
C127400	237.554759	15705.01519	264.336088	128.100409	5.984182	High	2
C129500	757.77552	83107.89408	171.829882	447.693165	0	High	2
C136300	278.457869	7547.574859	211.189798	173.480742	34.656765	Low	2
C137600	421.99346	19787.71995	418.83909	411.700032	0	High	2
C141800	267.05439	27828.85351	8.615253	136.477355	0	High	2
C147100	331.048038	15684.05452	199.374489	142.075575	0	High	2
C155800	540.904376	32235.06668	475.065392	277.129031	19.090583	High	2
C160200	362.394942	34550.91637	55.147317	129.996141	0	High	2
C161000	156.801966	5775.699437	100.055954	134.436889	0	Low	2
C168000	237.825452	13147.19487	115.610616	123.892161	0	High	2
C168600	213.543177	20522.75457	95.226378	95.199372	0.688652	High	2
C171300	307.011891	24805.33037	240.019406	126.453568	14.648703	High	2
C177100	339.828881	22601.74388	313.120708	136.974061	270.283396	High	2
C193900	305.764793	19523.62419	14.56602	142.023612	0	High	2
C195800	347.280113	18535.63352	171.511012	133.716361	114.014676	High	2
C198700	220.96911	3236.228956	274.224901	190.900384	0	Low	2
C201200	127.729788	5396.022775	142.138207	111.016931	0	Low	2
C211500	135.3174	4133.319469	215.012893	121.798202	692.094892	Low	2
C216400	176.359351	1231.959896	195.078101	163.125383	0	Low	2
C217700	239.883124	12130.91611	242.976484	125.42358	4.348051	High	2
C221900	244.719073	10788.10457	316.76799	116.730834	12.876249	High	2
C223900	534.682926	35459.28681	554.075054	466.075622	0	High	2
C290000	202.242938	6059.553719	271.1078	137.885956	4.713718	Low	2
C302000	660.025686	57858.12953	8.469828	136.078402	24.05985	High	2
C329000	458.340441	40176.76247	138.765885	109.010306	0	High	2
C340000	316.403729	34671.21923	6.952691	221.285972	0	High	2
C401000	353.029364	37480.89909	29.599381	205.672447	0	High	2
C446000	222.530227	15486.51545	96.24081	100.492206	14.661934	High	2
C500000	327.089505	30475.19517	41.059694	196.070559	2.194689	High	2
C509000	124.8974	3990.203824	115.806956	116.926329	1.536617	Low	2
C597000	444.067243	34378.67982	10.259375	147.532955	0	High	2
C654000	191.344541	27883.98707	5.215204	139.148277	0	High	2
C674000	604.248541	54733.71813	7.879856	123.375603	154.383387	High	2
C684000	333.481594	39080.80106	31.19715	138.563094	0	High	2
C699000	692.359194	60098.32957	289.387091	113.974102	0	High	2
C716000	250.279238	16303.28452	277.718131	159.993503	0	High	2
C757000	458.747714	24585.32264	638.585269	149.991428	84.154386	High	2
C792000	442.701308	27772.38949	318.965571	209.262114	1335.284417	High	2
C793000	319.500313	24134.62149	25.128347	122.72246	0	High	2
C795000	507.372389	37146.34918	273.025997	360.592422	0	High	2
C854000	321.637271	12791.76892	348.965646	151.478559	0	High	2
C896000	255.684389	20186.47203	214.83418	98.058304	0	High	2
C899000	741.078026	69860.7418	8.794801	237.253585	0	High	2
C923000	251.341583	29608.52952	7.6444	115.653037	0	High	2
C991000	250.905266	2542.571284	1317.858569	263.095346	0	Low	2
C996000	261.186446	10285.03765	202.332191	226.525369	0	High	2
