ID	Fixed.Calls	Duration	Mobile	International	Broadband	DurationHL	Cluster
C100000	229.372706	26822.50527	0.636458	16.007303	0	High	4
C100400	401.632573	46200.6746	30.025406	13.371935	69.115224	High	4
C101300	327.215002	29428.21675	16.130836	6.306357	176.21937	High	4
C102800	396.033715	60718.98542	98.141673	12.969227	61.418905	High	4
C103300	316.488798	34132.81137	2.095228	9.46586	0	High	4
C103400	204.951471	43248.49256	80.013685	0	1630.805506	High	4
C104200	431.412125	20875.08211	4.573801	6.974435	0	High	4
C105700	362.293311	31338.64831	38.575587	19.434907	42.33668	High	4
C105900	384.25739	28196.35544	30.37329	28.915243	20.366904	High	4
C106500	410.176829	35025.91523	18.705141	5.567875	0	High	4
C107100	290.145455	23730.79619	95.268195	0	98.525596	High	4
C108300	254.871183	49027.88065	13.589041	12.064906	60.753258	High	4
C108400	499.914643	31945.21265	0.166067	18.851248	1.771979	High	4
C108800	415.466602	43989.44583	99.226829	44.575023	0	High	4
C109200	335.105535	21203.18003	58.555276	0	348.382967	High	4
C109400	258.23937	25915.65188	9.543398	16.322296	0	High	4
C110600	520.320749	64191.71211	25.595876	50.56882	591.850106	High	4
C111400	280.465769	27083.12635	1.060809	5.266474	0	High	4
C112300	442.510513	27876.311	4.401314	59.226412	0	High	4
C113000	370.775877	21935.6869	14.34448	19.303724	0	High	4
C113300	311.612552	33957.16545	0.6214	5.531962	4.136995	High	4
C113500	684.216513	63321.8891	193.415596	42.496187	0	High	4
C114300	270.408766	39559.09565	48.545429	7.702937	0	High	4
C114400	333.162933	29259.69458	11.83505	11.678416	0	High	4
C114800	293.062834	19601.42458	5.244395	18.539537	74.906005	High	4
C116100	529.163461	50807.99187	214.717264	21.283671	0	High	4
C116300	277.218004	32126.16035	18.902462	0	2767.305612	High	4
C118400	493.027199	31043.83795	2.856958	0	23.647393	High	4
C118700	301.407012	27517.63087	22.286641	20.490148	0	High	4
C118800	311.201565	20632.31538	24.728733	15.270822	0	High	4
C120000	259.396904	26797.98301	67.425189	6.103285	0	High	4
C120600	344.048884	44965.96558	59.188154	13.763376	40.582911	High	4
C122300	452.359303	30762.34854	38.5924	11.993381	0	High	4
C122400	282.229094	19848.46029	103.842322	54.249836	48.211794	High	4
C123800	257.731397	21072.38876	58.140682	16.139931	1440.245326	High	4
C124000	358.775223	21774.03588	80.280503	6.930621	149.229767	High	4
C124200	512.088559	31896.22141	84.834779	26.407953	340.927644	High	4
C125300	217.761633	33059.44618	1.636596	7.460929	0	High	4
C125600	287.677781	37005.42452	43.512467	32.038787	104.484942	High	4
C125900	457.259814	34905.3886	2.774914	31.25329	0	High	4
C126800	292.423015	19058.80474	121.042091	72.582435	0	High	4
C127500	266.427344	23473.00239	3.912655	10.927229	3.852301	High	4
C128600	337.872583	96195.93007	95.869624	0	0	High	4
C128800	339.655778	24005.60738	77.998461	67.896095	368.863116	High	4
C129300	281.949735	22530.17367	49.529669	15.069759	0	High	4
C129600	289.275184	16624.36599	6.004256	21.605767	131.004984	High	4
C130900	343.277011	18825.3525	50.714503	0	214.02876	High	4
C132000	320.537092	15687.813	128.240817	55.44293	0	High	4
C132400	449.200625	39570.3943	6.962241	10.904029	18.974808	High	4
C133000	304.509794	14866.55944	144.040039	0	89.162136	High	4
C133200	319.173458	32642.15569	11.690119	34.496014	0	High	4
C133400	366.58442	22394.46217	129.099508	0	25.660102	High	4
C133900	379.208646	21925.74731	32.862192	21.385516	0	High	4
C134300	245.236733	28492.1382	2.621082	11.630689	1.077775	High	4
C135700	512.184649	33353.26483	5.240973	57.412865	0.647588	High	4
C135900	297.603203	20824.9792	121.36631	31.407087	0	High	4
C137200	218.383327	33664.5508	5.903323	0	4.947756	High	4
C138000	292.437109	15086.03618	62.954655	61.13883	0	High	4
C138200	526.696623	198954.0113	281.427448	0	68.758946	High	4
C139000	898.544491	70353.16116	258.879952	51.225016	3117.900209	High	4
C140200	340.712797	24966.16091	2.020386	18.174282	0	High	4
C141700	375.430245	42747.03516	247.395328	0	533.173715	High	4
C142200	451.581602	38567.27131	27.07695	29.404232	0	High	4
C143100	317.060936	22897.99348	78.209245	27.497716	0	High	4
C143300	832.536069	56536.61244	30.968092	56.303495	0	High	4
C143800	508.062526	41764.95303	67.140758	4.652445	218.236444	High	4
C147000	361.190927	21582.28361	6.380989	30.96426	0	High	4
C147700	343.703352	16990.91423	131.745978	0	104.598307	High	4
C149400	688.820451	62811.25488	16.056403	11.839696	0.602344	High	4
C149700	257.964192	20678.94607	113.877617	30.054242	0	High	4
C152900	504.093412	45198.1525	204.287903	0	0	High	4
C156500	329.487338	30341.43481	181.217443	0	3564.291636	High	4
C156900	226.807889	32483.28708	19.526047	10.051357	674.188318	High	4
C157100	465.523695	36419.15678	44.221012	3.192253	0.387222	High	4
C158200	519.086439	84853.08496	104.854851	0	265.761488	High	4
C159000	276.796974	21561.50059	36.411226	8.011143	0	High	4
C159500	715.329262	89158.59018	28.670456	80.546341	45.401288	High	4
C159700	238.909435	36218.75654	62.76357	15.551486	0	High	4
C160400	250.950721	24961.27517	53.735169	6.560168	0	High	4
C161500	324.510473	24916.50145	2.86648	20.851127	0	High	4
C162300	443.322891	29930.05857	24.44506	8.195804	0.020566	High	4
C162600	320.614722	25362.61067	76.474805	14.882156	141.477524	High	4
C164000	316.03094	29503.57135	20.293123	0	0	High	4
C166300	252.489427	25794.56143	18.634995	9.092543	0	High	4
C166400	299.988155	19238.20598	40.663401	17.331822	0	High	4
C166700	309.619326	25136.73319	15.21964	22.13457	0.161721	High	4
C168800	275.788964	19288.20317	118.411008	24.603081	25.385468	High	4
C168900	324.60006	27871.76551	23.091974	13.006621	333.441115	High	4
C171600	454.386187	35233.91794	153.628355	0	0	High	4
C171800	286.833574	30148.74386	65.612931	22.533433	0	High	4
C175800	517.140234	34457.06308	34.673331	20.568979	0	High	4
C175900	309.026557	33350.49736	82.264821	71.098889	0	High	4
C176800	304.290705	23079.49862	133.486351	11.240078	239.936893	High	4
C177500	272.23857	50183.205	42.576817	0	66.221622	High	4
C178600	295.726594	16303.58565	24.267021	12.784513	0	High	4
C178800	439.490354	28609.80449	63.761029	33.927418	0	High	4
C179200	498.155917	34665.97891	138.717514	0	134.05761	High	4
C179300	339.282252	20609.74384	133.191072	39.489866	0	High	4
C180300	513.369903	27725.67736	18.073522	13.272688	0	High	4
C180400	329.749272	50954.21981	221.706595	5.707317	0	High	4
C182200	283.590802	23859.92088	13.872866	9.771832	0.924138	High	4
C183400	406.259051	34426.52933	13.279329	0	2530.606	High	4
C184200	251.323933	22701.9148	5.746728	18.120083	62.563635	High	4
C184600	474.848691	26070.65644	37.284784	39.198335	263.589011	High	4
C185100	799.612621	97948.53848	7.881597	123.023109	188.165029	High	4
C185300	590.38571	101031.3387	407.610422	0	199.417802	High	4
C185700	280.477113	22594.81188	9.797493	12.008047	0	High	4
C186600	377.07126	17930.88431	0.616015	9.635416	0	High	4
